Year,Value
2021,276.5326628
2020,1371.75
2019,3531.43
2018,840.3719807
2017,16051.21
2016,4470.04
2015,2363.5
2014,1179.91
2013,2677.33
2012,877.3977789
2011,1534.73
2010,1743.06
2009,493.5686281
2008,1349.98
2007,2787.32
2006,504.7937655
2005,771.5902933
2004,114.7882954
2003,1125.7
2002,7136.3
2001,167.8937983
2000,50.10614365
