Value,Disaggregation combinations using this value,Number of indicators
Camarón de Tejeda,1,1
Camerino Z. Mendoza,1,1
Camocuautla,1,1
Campeche-Calakmul,1,1
Campeche-Calkiní,1,1
Campeche-Campeche,1,1
Campeche-Candelaria,1,1
Campeche-Carmen,1,1
Campeche-Champotón,1,1
Campeche-Escárcega,1,1
Campeche-Hecelchakán,1,1
Campeche-Hopelchén,1,1
Campeche-Palizada,1,1
Campeche-Tenabo,1,1
Campeche,3,2
Cananea,1,1
Canatlán,1,1
Candela,1,1
Candelaria Loxicha,1,1
Candelaria,1,1
Canelas,1,1
Cansahcab,1,1
Cantamayec,1,1
Capulhuac,1,1
Capulálpam de Méndez,1,1
Carbó,1,1
Cardonal,1,1
Carichí,1,1
Carlos A. Carrillo,1,1
Carmen,1,1
Carrillo Puerto,1,1
Carácuaro,1,1
Casas Grandes,1,1
Casas,1,1
Casimiro Castillo,1,1
Castaños,1,1
Castillo de Teayo,1,1
Catazajá,1,1
Catemaco,1,1
Catorce,1,1
Caxhuacan,1,1
Cazones de Herrera,1,1
Cañada Morelos,1,1
Cañadas de Obregón,1,1
Cañitas de Felipe Pescador,1,1
Cedral,1,1
Celaya,1,1
Celestún,1,1
Cenotillo,1,1
Centla,1,1
Centro,1,1
Cerralvo,1,1
Cerritos,1,1
Cerro Azul,1,1
Cerro de San Pedro,1,1
Chacaltianguis,1,1
Chacsinkín,1,1
Chahuites,1,1
Chalcatongo de Hidalgo,1,1
Chalchicomula de Sesma,1,1
Chalchihuites,1,1
Chalchihuitán,1,1
Chalco,1,1
Chalma,1,1
Champotón,1,1
Chamula,1,1
Chanal,1,1
Chankom,1,1
Chapa de Mota,1,1
Chapab,1,1
Chapala,1,1
Chapantongo,1,1
Chapulco,1,1
Chapulhuacán,1,1
Chapultenango,1,1
Chapultepec,1,1
Charapan,1,1
Charcas,1,1
Charo,1,1
Chavinda,1,1
Chemax,1,1
Chenalhó,1,1
Cherán,1,1
Chiapa de Corzo,1,1
Chiapas-Acacoyagua,1,1
Chiapas-Acala,1,1
Chiapas-Acapetahua,1,1
Chiapas-Aldama,1,1
Chiapas-Altamirano,1,1
Chiapas-Amatenango de la Frontera,1,1
Chiapas-Amatenango del Valle,1,1
Chiapas-Amatán,1,1
Chiapas-Angel Albino Corzo,1,1
Chiapas-Arriaga,1,1
Chiapas-Bejucal de Ocampo,1,1
Chiapas-Bella Vista,1,1
Chiapas-Benemérito de las Américas,1,1
Chiapas-Berriozábal,1,1
Chiapas-Bochil,1,1
Chiapas-Cacahoatán,1,1
Chiapas-Catazajá,1,1
Chiapas-Chalchihuitán,1,1
Chiapas-Chamula,1,1
Chiapas-Chanal,1,1
Chiapas-Chapultenango,1,1
Chiapas-Chenalhó,1,1
Chiapas-Chiapa de Corzo,1,1
Chiapas-Chiapilla,1,1
Chiapas-Chicoasén,1,1
Chiapas-Chicomuselo,1,1
Chiapas-Chilón,1,1
Chiapas-Cintalapa,1,1
Chiapas-Coapilla,1,1
Chiapas-Comitán de Domínguez,1,1
Chiapas-Copainalá,1,1
Chiapas-El Bosque,1,1
Chiapas-El Porvenir,1,1
Chiapas-Escuintla,1,1
Chiapas-Francisco León,1,1
Chiapas-Frontera Comalapa,1,1
Chiapas-Frontera Hidalgo,1,1
Chiapas-Huehuetán,1,1
Chiapas-Huitiupán,1,1
Chiapas-Huixtla,1,1
Chiapas-Huixtán,1,1
Chiapas-Ixhuatán,1,1
Chiapas-Ixtacomitán,1,1
Chiapas-Ixtapa,1,1
Chiapas-Ixtapangajoya,1,1
Chiapas-Jiquipilas,1,1
Chiapas-Jitotol,1,1
Chiapas-Juárez,1,1
Chiapas-La Concordia,1,1
Chiapas-La Grandeza,1,1
Chiapas-La Independencia,1,1
Chiapas-La Libertad,1,1
Chiapas-La Trinitaria,1,1
Chiapas-Larráinzar,1,1
Chiapas-Las Margaritas,1,1
Chiapas-Las Rosas,1,1
Chiapas-Mapastepec,1,1
Chiapas-Maravilla Tenejapa,1,1
Chiapas-Marqués de Comillas,1,1
Chiapas-Mazapa de Madero,1,1
Chiapas-Mazatán,1,1
Chiapas-Metapa,1,1
Chiapas-Mitontic,1,1
Chiapas-Montecristo de Guerrero,1,1
Chiapas-Motozintla,1,1
Chiapas-Nicolás Ruíz,1,1
Chiapas-Ocosingo,1,1
Chiapas-Ocotepec,1,1
Chiapas-Ocozocoautla de Espinosa,1,1
Chiapas-Ostuacán,1,1
Chiapas-Osumacinta,1,1
Chiapas-Oxchuc,1,1
Chiapas-Palenque,1,1
Chiapas-Pantelhó,1,1
Chiapas-Pantepec,1,1
Chiapas-Pichucalco,1,1
Chiapas-Pijijiapan,1,1
Chiapas-Pueblo Nuevo Solistahuacán,1,1
Chiapas-Rayón,1,1
Chiapas-Reforma,1,1
Chiapas-Sabanilla,1,1
Chiapas-Salto de Agua,1,1
Chiapas-San Andrés Duraznal,1,1
Chiapas-San Cristóbal de las Casas,1,1
Chiapas-San Fernando,1,1
Chiapas-San Juan Cancuc,1,1
Chiapas-San Lucas,1,1
Chiapas-Santiago el Pinar,1,1
Chiapas-Siltepec,1,1
Chiapas-Simojovel,1,1
Chiapas-Sitalá,1,1
Chiapas-Socoltenango,1,1
Chiapas-Solosuchiapa,1,1
Chiapas-Soyaló,1,1
Chiapas-Suchiapa,1,1
Chiapas-Suchiate,1,1
Chiapas-Sunuapa,1,1
Chiapas-Tapachula,1,1
Chiapas-Tapalapa,1,1
Chiapas-Tapilula,1,1
Chiapas-Tecpatán,1,1
Chiapas-Tenejapa,1,1
Chiapas-Teopisca,1,1
Chiapas-Tila,1,1
Chiapas-Tonalá,1,1
Chiapas-Totolapa,1,1
Chiapas-Tumbalá,1,1
Chiapas-Tuxtla Chico,1,1
Chiapas-Tuxtla Gutiérrez,1,1
Chiapas-Tuzantán,1,1
Chiapas-Tzimol,1,1
Chiapas-Unión Juárez,1,1
Chiapas-Venustiano Carranza,1,1
Chiapas-Villa Comaltitlán,1,1
Chiapas-Villa Corzo,1,1
Chiapas-Villaflores,1,1
Chiapas-Yajalón,1,1
Chiapas-Zinacantán,1,1
Chiapas,2,2
Chiapilla,1,1
Chiautempan,1,1
Chiautla,2,1
Chiautzingo,1,1
Chichimilá,1,1
Chichiquila,1,1
Chicoasén,1,1
Chicoloapan,1,1
Chicomuselo,1,1
Chiconamel,1,1
Chiconcuac,1,1
Chiconcuautla,1,1
Chiconquiaco,1,1
Chicontepec,1,1
Chicxulub Pueblo,1,1
Chietla,1,1
Chigmecatitlán,1,1
Chignahuapan,1,1
Chignautla,1,1
Chihuahua-Ahumada,1,1
Chihuahua-Aldama,1,1
Chihuahua-Allende,1,1
Chihuahua-Aquiles Serdán,1,1
Chihuahua-Ascensión,1,1
Chihuahua-Bachíniva,1,1
Chihuahua-Balleza,1,1
Chihuahua-Batopilas,1,1
Chihuahua-Bocoyna,1,1
Chihuahua-Buenaventura,1,1
Chihuahua-Camargo,1,1
Chihuahua-Carichí,1,1
Chihuahua-Casas Grandes,1,1
Chihuahua-Chihuahua,1,1
Chihuahua-Chínipas,1,1
Chihuahua-Coronado,1,1
Chihuahua-Coyame del Sotol,1,1
Chihuahua-Cuauhtémoc,1,1
Chihuahua-Cusihuiriachi,1,1
Chihuahua-Delicias,1,1
Chihuahua-Dr. Belisario Domínguez,1,1
Chihuahua-El Tule,1,1
Chihuahua-Galeana,1,1
Chihuahua-Gran Morelos,1,1
Chihuahua-Guachochi,1,1
Chihuahua-Guadalupe y Calvo,1,1
Chihuahua-Guadalupe,1,1
Chihuahua-Guazapares,1,1
Chihuahua-Guerrero,1,1
Chihuahua-Gómez Farías,1,1
Chihuahua-Hidalgo del Parral,1,1
Chihuahua-Huejotitán,1,1
Chihuahua-Ignacio Zaragoza,1,1
Chihuahua-Janos,1,1
Chihuahua-Jiménez,1,1
Chihuahua-Julimes,1,1
Chihuahua-Juárez,1,1
Chihuahua-La Cruz,1,1
Chihuahua-López,1,1
Chihuahua-Madera,1,1
Chihuahua-Maguarichi,1,1
Chihuahua-Manuel Benavides,1,1
Chihuahua-Matachí,1,1
Chihuahua-Matamoros,1,1
Chihuahua-Meoqui,1,1
Chihuahua-Morelos,1,1
Chihuahua-Moris,1,1
Chihuahua-Namiquipa,1,1
Chihuahua-Nonoava,1,1
Chihuahua-Nuevo Casas Grandes,1,1
Chihuahua-Ocampo,1,1
Chihuahua-Ojinaga,1,1
Chihuahua-Praxedis G. Guerrero,1,1
Chihuahua-Riva Palacio,1,1
Chihuahua-Rosales,1,1
Chihuahua-Rosario,1,1
Chihuahua-San Francisco de Borja,1,1
Chihuahua-San Francisco de Conchos,1,1
Chihuahua-San Francisco del Oro,1,1
Chihuahua-Santa Bárbara,1,1
Chihuahua-Santa Isabel,1,1
Chihuahua-Satevó,1,1
Chihuahua-Saucillo,1,1
Chihuahua-Temósachic,1,1
Chihuahua-Urique,1,1
Chihuahua-Uruachi,1,1
Chihuahua-Valle de Zaragoza,1,1
Chihuahua,3,2
Chikindzonot,1,1
Chila de la Sal,1,1
Chila,1,1
Chilapa de Álvarez,1,1
Chilchota,1,1
Chilchotla,1,1
Chilcuautla,1,1
Chilpancingo de los Bravo,1,1
Chilón,1,1
Chimalhuacán,1,1
Chimaltitán,1,1
China,1,1
Chinameca,1,1
Chinampa de Gorostiza,1,1
Chinantla,1,1
Chinicuila,1,1
Chiquihuitlán de Benito Juárez,1,1
Chiquilistlán,1,1
Chocamán,1,1
Chocholá,1,1
Choix,1,1
Chontla,1,1
Chucándiro,1,1
Chumatlán,1,1
Chumayel,1,1
Churintzio,1,1
Churumuco,1,1
Chínipas,1,1
Cihuatlán,1,1
Cintalapa,1,1
Citlaltépetl,1,1
Ciudad de México-Azcapotzalco,1,1
Ciudad de México-Benito Juárez,1,1
Ciudad de México-Coyoacán,1,1
Ciudad de México-Cuajimalpa de Morelos,1,1
Ciudad de México-Cuauhtémoc,1,1
Ciudad de México-Gustavo A. Madero,1,1
Ciudad de México-Iztacalco,1,1
Ciudad de México-Iztapalapa,1,1
Ciudad de México-La Magdalena Contreras,1,1
Ciudad de México-Miguel Hidalgo,1,1
Ciudad de México-Milpa Alta,1,1
Ciudad de México-Tlalpan,1,1
Ciudad de México-Tláhuac,1,1
Ciudad de México-Venustiano Carranza,1,1
Ciudad de México-Xochimilco,1,1
Ciudad de México-Álvaro Obregón,1,1
Ciudad de México,2,2
Ciudad del Maíz,1,1
Ciudad Fernández,1,1
Ciudad Ixtepec,1,1
Ciudad Madero,1,1
Ciudad Valles,1,1
Ciénega de Flores,1,1
Ciénega de Zimatlán,1,1
Coacalco de Berriozábal,1,1
Coacoatzintla,1,1
Coahuayana,1,1
Coahuayutla de José María Izazaga,1,1
Coahuila de Zaragoza-Abasolo,1,1
Coahuila de Zaragoza-Acuña,1,1
Coahuila de Zaragoza-Allende,1,1
Coahuila de Zaragoza-Arteaga,1,1
Coahuila de Zaragoza-Candela,1,1
Coahuila de Zaragoza-Castaños,1,1
Coahuila de Zaragoza-Cuatro Ciénegas,1,1
Coahuila de Zaragoza-Escobedo,1,1
Coahuila de Zaragoza-Francisco I. Madero,1,1
Coahuila de Zaragoza-Frontera,1,1
Coahuila de Zaragoza-General Cepeda,1,1
Coahuila de Zaragoza-Guerrero,1,1
Coahuila de Zaragoza-Hidalgo,1,1
Coahuila de Zaragoza-Jiménez,1,1
Coahuila de Zaragoza-Juárez,1,1
Coahuila de Zaragoza-Lamadrid,1,1
Coahuila de Zaragoza-Matamoros,1,1
Coahuila de Zaragoza-Monclova,1,1
Coahuila de Zaragoza-Morelos,1,1
Coahuila de Zaragoza-Múzquiz,1,1
Coahuila de Zaragoza-Nadadores,1,1
Coahuila de Zaragoza-Nava,1,1
Coahuila de Zaragoza-Ocampo,1,1
Coahuila de Zaragoza-Parras,1,1
Coahuila de Zaragoza-Piedras Negras,1,1
Coahuila de Zaragoza-Progreso,1,1
Coahuila de Zaragoza-Ramos Arizpe,1,1
Coahuila de Zaragoza-Sabinas,1,1
Coahuila de Zaragoza-Sacramento,1,1
Coahuila de Zaragoza-Saltillo,1,1
Coahuila de Zaragoza-San Buenaventura,1,1
Coahuila de Zaragoza-San Juan de Sabinas,1,1
Coahuila de Zaragoza-San Pedro,1,1
Coahuila de Zaragoza-Sierra Mojada,1,1
Coahuila de Zaragoza-Torreón,1,1
Coahuila de Zaragoza-Viesca,1,1
