Value,Disaggregation combinations using this value,Number of indicators
Hombres Grupos de edad,7,1
Hombres,33,1
Mujeres Grupos de edad,7,1
Mujeres,33,1
Total a/,33,1
Total Grupos de edad,7,1
Total,1,1
