Value,Disaggregation combinations using this value,Number of indicators
Acaponeta,2,2
Ahuacatlán,2,2
Amatlán de Cañas,2,2
Bahía de Banderas,2,2
Compostela,2,2
Del Nayar,2,2
Huajicori,2,2
Ixtlán del Río,2,2
Jala,2,2
La Yesca,2,2
Rosamorada,2,2
Ruíz,2,2
San Blas,2,2
San Pedro Lagunillas,2,2
Santa María del Oro,2,2
Santiago Ixcuintla,2,2
Tecuala,2,2
Tepic,2,2
Tuxpan,2,2
Xalisco,2,2
