Value,Disaggregation combinations using this value,Number of indicators
Bacalar,2,2
Benito Juárez,2,2
Cozumel,2,2
Felipe Carrillo Puerto,2,2
Isla Mujeres,2,2
José María Morelos,2,2
Lázaro Cárdenas,2,2
Othón P. Blanco,2,2
Puerto Morelos,2,2
Solidaridad,2,2
Tulum,2,2
