Value,Disaggregation combinations using this value,Number of indicators
Acatlán,2,2
Acaxochitlán,2,2
Actopan,2,2
Agua Blanca de Iturbide,2,2
Ajacuba,2,2
Alfajayucan,2,2
Almoloya,2,2
Apan,2,2
Atitalaquia,2,2
Atlapexco,2,2
Atotonilco de Tula,2,2
Atotonilco el Grande,2,2
Calnali,2,2
Cardonal,2,2
Chapantongo,2,2
Chapulhuacán,2,2
Chilcuautla,2,2
Cuautepec de Hinojosa,2,2
El Arenal,2,2
Eloxochitlán,2,2
Emiliano Zapata,2,2
Epazoyucan,2,2
Francisco I. Madero,2,2
Huasca de Ocampo,2,2
Huautla,2,2
Huazalingo,2,2
Huehuetla,2,2
Huejutla de Reyes,2,2
Huichapan,2,2
Ixmiquilpan,2,2
Jacala de Ledezma,2,2
Jaltocán,2,2
Juárez Hidalgo,2,2
La Misión,2,2
Lolotla,2,2
Metepec,2,2
Metztitlán,2,2
Mineral de la Reforma,2,2
Mineral del Chico,2,2
Mineral del Monte,2,2
Mixquiahuala de Juárez,2,2
Molango de Escamilla,2,2
Nicolás Flores,2,2
Nopala de Villagrán,2,2
Omitlán de Juárez,2,2
Pachuca de Soto,2,2
Pacula,2,2
Pisaflores,2,2
Progreso de Obregón,2,2
San Agustín Metzquititlán,2,2
San Agustín Tlaxiaca,2,2
San Bartolo Tutotepec,2,2
San Felipe Orizatlán,2,2
San Salvador,2,2
Santiago de Anaya,2,2
Santiago Tulantepec de Lugo Guerrero,2,2
Singuilucan,2,2
Tasquillo,2,2
Tecozautla,2,2
Tenango de Doria,2,2
Tepeapulco,2,2
Tepehuacán de Guerrero,2,2
Tepeji del Río de Ocampo,2,2
Tepetitlán,2,2
Tetepango,2,2
Tezontepec de Aldama,2,2
Tianguistengo,2,2
Tizayuca,2,2
Tlahuelilpan,2,2
Tlahuiltepa,2,2
Tlanalapa,2,2
Tlanchinol,2,2
Tlaxcoapan,2,2
Tolcayuca,2,2
Tula de Allende,2,2
Tulancingo de Bravo,2,2
Villa de Tezontepec,2,2
Xochiatipan,2,2
Xochicoatlán,2,2
Yahualica,2,2
Zacualtipán de Ángeles,2,2
Zapotlán de Juárez,2,2
Zempoala,2,2
Zimapán,2,2
