Value,Disaggregation combinations using this value,Number of indicators
Ahome,2,2
Angostura,2,2
Badiraguato,2,2
Choix,2,2
Concordia,2,2
Cosalá,2,2
Culiacán,2,2
El Fuerte,2,2
Elota,2,2
Escuinapa,2,2
Guasave,2,2
Mazatlán,2,2
Mocorito,2,2
Navolato,2,2
Rosario,2,2
Salvador Alvarado,2,2
San Ignacio,2,2
Sinaloa,2,2
