Year,Entidad_federativa,Municipio,GeoCode,Value
2008,Chiapas,Nicolás Ruíz,7058,
2008,Chiapas,Ocosingo,7059,
2008,Chiapas,Ocotepec,7060,
2008,Chiapas,Ocozocoautla de Espinosa,7061,
2008,Chiapas,Ostuacán,7062,
2008,Chiapas,Osumacinta,7063,
2008,Chiapas,Oxchuc,7064,
2008,Chiapas,Palenque,7065,
2008,Chiapas,Pantelhó,7066,
2008,Chiapas,Pantepec,7067,
2008,Chiapas,Pichucalco,7068,
2008,Chiapas,Pijijiapan,7069,
2008,Chiapas,El Porvenir,7070,
2008,Chiapas,Villa Comaltitlán,7071,
2008,Chiapas,Pueblo Nuevo Solistahuacán,7072,
2008,Chiapas,Rayón,7073,
2008,Chiapas,Reforma,7074,
2008,Chiapas,Las Rosas,7075,
2008,Chiapas,Sabanilla,7076,
2008,Chiapas,Salto de Agua,7077,
2008,Chiapas,San Cristóbal de las Casas,7078,
2008,Chiapas,San Fernando,7079,
2008,Chiapas,Siltepec,7080,
2008,Chiapas,Simojovel,7081,
2008,Chiapas,Sitalá,7082,
2008,Chiapas,Socoltenango,7083,
2008,Chiapas,Solosuchiapa,7084,
2008,Chiapas,Soyaló,7085,
2008,Chiapas,Suchiapa,7086,
2008,Chiapas,Suchiate,7087,
2008,Chiapas,Sunuapa,7088,
2008,Chiapas,Tapachula,7089,
2008,Chiapas,Tapalapa,7090,
2008,Chiapas,Tapilula,7091,
2008,Chiapas,Tecpatán,7092,
2008,Chiapas,Tenejapa,7093,
2008,Chiapas,Teopisca,7094,
2008,Chiapas,Tila,7096,
2008,Chiapas,Tonalá,7097,
2008,Chiapas,Totolapa,7098,
2008,Chiapas,La Trinitaria,7099,
2008,Chiapas,Tumbalá,7100,
2008,Chiapas,Tuxtla Gutiérrez,7101,
2008,Chiapas,Tuxtla Chico,7102,
2008,Chiapas,Tuzantán,7103,
2008,Chiapas,Tzimol,7104,
2008,Chiapas,Unión Juárez,7105,
2008,Chiapas,Venustiano Carranza,7106,
2008,Chiapas,Villa Corzo,7107,
2008,Chiapas,Villaflores,7108,
2008,Chiapas,Yajalón,7109,
2008,Chiapas,San Lucas,7110,
2008,Chiapas,Zinacantán,7111,
2008,Chiapas,San Juan Cancuc,7112,
2008,Chiapas,Aldama,7113,
2008,Chiapas,Benemérito de las Américas,7114,
2008,Chiapas,Maravilla Tenejapa,7115,
2008,Chiapas,Marqués de Comillas,7116,
2008,Chiapas,Montecristo de Guerrero,7117,
2008,Chiapas,San Andrés Duraznal,7118,
2008,Chiapas,Santiago el Pinar,7119,
2008,Chiapas,Rincón Chamula San Pedro,7121,
2008,Chiapas,El Parral,7122,
2008,Chiapas,Emiliano Zapata,7123,
2008,Chiapas,Mezcalapa,7124,
2008,Chihuahua,,8,39.3909625
2008,Chihuahua,Ahumada,8001,
2008,Chihuahua,Aldama,8002,
2008,Chihuahua,Allende,8003,
2008,Chihuahua,Aquiles Serdán,8004,
2008,Chihuahua,Ascensión,8005,
2008,Chihuahua,Bachíniva,8006,
2008,Chihuahua,Balleza,8007,
2008,Chihuahua,Batopilas,8008,
2008,Chihuahua,Bocoyna,8009,
2008,Chihuahua,Buenaventura,8010,
2008,Chihuahua,Camargo,8011,
2008,Chihuahua,Carichí,8012,
2008,Chihuahua,Casas Grandes,8013,
2008,Chihuahua,Coronado,8014,
2008,Chihuahua,Coyame del Sotol,8015,
2008,Chihuahua,La Cruz,8016,
2008,Chihuahua,Cuauhtémoc,8017,
2008,Chihuahua,Cusihuiriachi,8018,
2008,Chihuahua,Chihuahua,8019,
2008,Chihuahua,Chínipas,8020,
2008,Chihuahua,Delicias,8021,
2008,Chihuahua,Dr. Belisario Domínguez,8022,
2008,Chihuahua,Galeana,8023,
2008,Chihuahua,Santa Isabel,8024,
2008,Chihuahua,Gómez Farías,8025,
2008,Chihuahua,Gran Morelos,8026,
2008,Chihuahua,Guachochi,8027,
2008,Chihuahua,Guadalupe,8028,
2008,Chihuahua,Guadalupe y Calvo,8029,
2008,Chihuahua,Guazapares,8030,
2008,Chihuahua,Guerrero,8031,
2008,Chihuahua,Hidalgo del Parral,8032,
2008,Chihuahua,Huejotitán,8033,
2008,Chihuahua,Ignacio Zaragoza,8034,
2008,Chihuahua,Janos,8035,
2008,Chihuahua,Jiménez,8036,
2008,Chihuahua,Juárez,8037,
2008,Chihuahua,Julimes,8038,
2008,Chihuahua,López,8039,
2008,Chihuahua,Madera,8040,
2008,Chihuahua,Maguarichi,8041,
2008,Chihuahua,Manuel Benavides,8042,
2008,Chihuahua,Matachí,8043,
2008,Chihuahua,Matamoros,8044,
2008,Chihuahua,Meoqui,8045,
2008,Chihuahua,Morelos,8046,
2008,Chihuahua,Moris,8047,
2008,Chihuahua,Namiquipa,8048,
2008,Chihuahua,Nonoava,8049,
2008,Chihuahua,Nuevo Casas Grandes,8050,
2008,Chihuahua,Ocampo,8051,
2008,Chihuahua,Ojinaga,8052,
2008,Chihuahua,Praxedis G. Guerrero,8053,
2008,Chihuahua,Riva Palacio,8054,
2008,Chihuahua,Rosales,8055,
2008,Chihuahua,Rosario,8056,
2008,Chihuahua,San Francisco de Borja,8057,
2008,Chihuahua,San Francisco de Conchos,8058,
2008,Chihuahua,San Francisco del Oro,8059,
2008,Chihuahua,Santa Bárbara,8060,
2008,Chihuahua,Satevó,8061,
2008,Chihuahua,Saucillo,8062,
2008,Chihuahua,Temósachic,8063,
2008,Chihuahua,El Tule,8064,
2008,Chihuahua,Urique,8065,
2008,Chihuahua,Uruachi,8066,
2008,Chihuahua,Valle de Zaragoza,8067,
2008,Ciudad de México,,9,32.6485939
2008,Ciudad de México,Azcapotzalco,9002,
